Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
Yorkshire and the Humber,1,1,5-9,30-34,0.19813044571853666,0.06519991660046613,0.37908213235080407
East Midlands,1,1,5-9,35-39,0.34351352857432627,0.13042172356992518,0.6094227219903453
East of England,1,1,5-9,35-39,0.3418465126793097,0.09294400030030996,0.6495547954269274
Greater London,1,1,5-9,35-39,0.400256966539372,0.1903846756028763,0.6514535050481595
North East,1,1,5-9,35-39,0.44987557170349457,0.22526742556654525,0.7351887449299762
North West,1,1,5-9,35-39,0.49164746687561983,0.30065553996999994,0.7715792864341382
South East,1,1,5-9,35-39,0.26684010776739103,0.0384615384699459,0.6148007740134112
South West,1,1,5-9,35-39,0.49847078439128484,0.14285808019863527,0.97831185125757
West Midlands,1,1,5-9,35-39,0.39699880758909234,0.2470805295457344,0.5630960007155169
Yorkshire and the Humber,1,1,5-9,35-39,0.5038298996089183,0.23168897888540227,1.142655073264521
East Midlands,1,1,5-9,40-44,0.32675358840257457,0.13152994608726,0.5917690471310931
East of England,1,1,5-9,40-44,0.42579510303237855,0.10349852710863518,0.8045719167923426
Greater London,1,1,5-9,40-44,0.27257205239749244,0.11230561987303816,0.46163442058106635
North East,1,1,5-9,40-44,0.6305311074289109,0.13369264776014894,1.6225620107684273
North West,1,1,5-9,40-44,0.37999253669937666,0.212502769679078,0.6626503371106374
South East,1,1,5-9,40-44,0.11754734527349328,0,0.28750866796188707
South West,1,1,5-9,40-44,0.27923811833601236,0,0.7223487075649997
West Midlands,1,1,5-9,40-44,0.62831101604157,0.20843292985005143,1.455615053398727
Yorkshire and the Humber,1,1,5-9,40-44,0.2623263400340195,0.09387961395455406,0.48515266807166174
East Midlands,1,1,5-9,45-49,0.12251717173546373,0,0.3213018538009917
East of England,1,1,5-9,45-49,0.17873753092474085,0,0.3826282672379747
Greater London,1,1,5-9,45-49,0.2010638346804824,0.07582035453741613,0.3430159396264263
North East,1,1,5-9,45-49,0.18712586602982212,0.059549366805916285,0.32624674132030707
North West,1,1,5-9,45-49,0.19971991651943394,0.08274145174895065,0.36759625691650355
South East,1,1,5-9,45-49,0.1088718629895395,0,0.3133588444846885
South West,1,1,5-9,45-49,0.120155944560337,0,0.3408187659481084
West Midlands,1,1,5-9,45-49,0.1098422046129771,0.03448059238064966,0.20632803208302045
Yorkshire and the Humber,1,1,5-9,45-49,0.18718715432300137,0.05982770579933779,0.3776956502341066
East Midlands,1,1,5-9,50-54,0.0973587704667756,0,0.24927860043770692
East of England,1,1,5-9,50-54,0.12173519911421175,0,0.46768964648288264
Greater London,1,1,5-9,50-54,0.08314956673766881,0.015140374335398363,0.17656100895763086
North East,1,1,5-9,50-54,0.11204722607501134,0,0.2854563012536791
North West,1,1,5-9,50-54,0.05786895431365653,0.01086537662785282,0.11795380337627887
South East,1,1,5-9,50-54,0.07596012621310817,0,0.22270322648283639
South West,1,1,5-9,50-54,0.04253455631789401,0,0.1707051561189828
West Midlands,1,1,5-9,50-54,0.07041593970739587,0,0.16597476780476686
Yorkshire and the Humber,1,1,5-9,50-54,0.1205113024948506,0.033314251713998655,0.23734913172163524
East Midlands,1,1,5-9,55-59,0.017126695784105455,0,0.07692307831112799
