Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,3,0-4,35-49,0.15847449070203307,0,0.5235711897407915
East Midlands,1,3,0-4,5-11,0.1068469166453806,0,0.3701023028745512
East Midlands,1,3,0-4,50-69,0.14451901640566073,0,0.4617392599785558
East Midlands,1,3,0-4,70-79,0.030329766965788346,0,0.17769057207078096
East Midlands,1,3,0-4,80+,0.07692645446019102,0,0.729646527675546
East Midlands,1,3,12-17,0-4,0.12674897802025434,0,0.3888892460660325
East Midlands,1,3,12-17,12-17,1.6152232956723398,0.35867265100989276,3.9993280443545576
East Midlands,1,3,12-17,18-25,0.2019090616890642,0.029664363506486553,0.5097278322455355
East Midlands,1,3,12-17,26-34,0.12216981636985055,0,0.33078727260482305
East Midlands,1,3,12-17,35-49,0.2744593942674519,0.04985638898995061,0.6141827139389915
East Midlands,1,3,12-17,5-11,0.3309432558807052,0.02453222503694301,0.936388647954427
East Midlands,1,3,12-17,50-69,0.14800889101809972,0,0.3744189573829276
East Midlands,1,3,12-17,70-79,0.017626069198258067,0,0.09622057823515268
East Midlands,1,3,12-17,80+,0.027341271005667283,0,0.3549699634607048
East Midlands,1,3,18-25,0-4,0.05029402882162093,0,0.20918738571387216
East Midlands,1,3,18-25,12-17,0.160993200081409,0,0.42857177650945594
East Midlands,1,3,18-25,18-25,0.5872011266633393,0.17506580122658405,1.3165084646735146
East Midlands,1,3,18-25,26-34,0.2778564192306212,0.05262163889684778,0.6295447023542698
East Midlands,1,3,18-25,35-49,0.2344981579239171,0.052772348372841234,0.579844717959264
East Midlands,1,3,18-25,5-11,0.07512770441772995,0,0.2499998369312428
East Midlands,1,3,18-25,50-69,0.18586192479444627,0.02172310832235202,0.684831570347466
East Midlands,1,3,18-25,70-79,0.06203181557180786,0,0.38140951585063215
East Midlands,1,3,18-25,80+,0.023037094709375386,0,0.1250783838994732
East Midlands,1,3,26-34,0-4,0.06995464173103651,0,0.24152969466467256
East Midlands,1,3,26-34,12-17,0.11606513638447484,0,0.28937530518504767
East Midlands,1,3,26-34,18-25,0.27039516874779335,0.0640908141158884,0.6307999749140448
East Midlands,1,3,26-34,26-34,0.28303893898102633,0.09080271633311113,0.6262790807620617
East Midlands,1,3,26-34,35-49,0.27408573624799987,0.10498342900221762,0.5575533305594582
East Midlands,1,3,26-34,5-11,0.09372548684586243,0.013713749729546598,0.22078684366865206
East Midlands,1,3,26-34,50-69,0.22013419556135982,0.06033129784840159,0.5170306458566509
East Midlands,1,3,26-34,70-79,0.03118706018947326,0,0.11755469676300177
East Midlands,1,3,26-34,80+,0.013840344484579586,0,0.0652173924000345
East Midlands,1,3,35-49,0-4,0.05989076895574993,0,0.20827814773793413
East Midlands,1,3,35-49,12-17,0.08163260802716028,0.013886482259956024,0.1871384124600741
East Midlands,1,3,35-49,18-25,0.173297575068569,0.04341333181496649,0.4698232916086903
East Midlands,1,3,35-49,26-34,0.20137651500895254,0.0764459734186478,0.40850493702629953
East Midlands,1,3,35-49,35-49,0.3771803781358784,0.17991146373981667,0.6654934110176275
East Midlands,1,3,35-49,5-11,0.1022572069694384,0.02616003980498647,0.20692214366324232
East Midlands,1,3,35-49,50-69,0.28311308084819603,0.11107702022399873,0.5133381801102019
East Midlands,1,3,35-49,70-79,0.07012500746903187,0,0.18595141139773533
East Midlands,1,3,35-49,80+,0.020545871232708016,0,0.08144559072689785
East Midlands,1,3,5-11,0-4,0.11532815653521285,0,0.3028705097392387
East Midlands,1,3,5-11,12-17,0.3620219467708093,0.02321365206487684,1.252461789624121
